time_s,n_particles_in_wall_band,crest_z_m,inner_floor_z_m,surge_height_m
7.200000,4,2.381867,0.000000,2.381867
7.400000,3,2.911107,0.000000,2.911107
7.600000,5,3.583849,0.000000,3.583849
7.800000,3,3.685960,0.000000,3.685960
8.000000,3,3.721034,0.000000,3.721034
8.200000,3,3.736531,0.000000,3.736531
8.400000,2,2.454257,0.000000,2.454257
8.600000,2,2.455746,0.000000,2.455746
8.800000,2,2.455955,0.000000,2.455955
9.000000,2,2.455486,0.000000,2.455486
9.200000,2,2.454694,0.000000,2.454694
9.400000,2,2.453893,0.000000,2.453893
9.600000,2,2.453192,0.000000,2.453192
9.800000,2,2.452656,0.000000,2.452656
10.000000,2,2.452288,0.000000,2.452288
